Name,Team,Type,ValueinCR,Age,National Side,Batting Style,Bowling,MatchPlayed,NotOuts,RunsScored,100s,50s,4s,6s,BattingS/R,CatchesTaken,StumpingsMade,Overs,Maidens,Wickets,EconomyRate,S/R
Abhijeet Tomar,KKR,Batsman ,0.4,"27 Years, 0 Months, 2 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,
Anukul Roy,KKR,All-Rounder ,0.2,"23 Years, 3 Months, 15 Days",India,Left Handed,Slow left-arm orthodox,1,0,,0,0,0,0,0,,,2,0,1,5.5,12
Pratham Singh,KKR,Batsman ,0.2,"29 Years, 6 Months, 15 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,
Rasikh Dar,KKR,Bowler ,0.2,"20 Years, 11 Months, 10 Days",India,Right Handed,Right-arm medium,1,1,5,0,0,0,0,125,1,0,4,0,0,10.5,
Ramesh Kumar,KKR,Batsman ,0.2,"23 Years, 2 Months, 14 Days",India,Left Handed,,,,,,,,,,,,,,,,
Aman Khan,KKR,All-Rounder ,0.2,"25 Years, 3 Months, 22 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,
Baba Indrajith,KKR,Wicket-Keeper ,0.2,"27 Years, 8 Months, 7 Days",India,Right Handed,Leg break googly,,,,,,,,,,,,,,,
Rishabh Pant,DC,Wicket-Keeper ,16,"24 Years, 5 Months, 11 Days",India,Left Handed,,84,13,2498,1,15,225,113,147.46,56,14,,,,,
Shardul Thakur,DC,Bowler ,10.75,"30 Years, 5 Months, 0 Days",India,Right Handed,Right-arm medium fast,61,6,53,0,0,5,1,112.76,17,0,210,2,67,8.89,18.8
Axar Patel,DC,All-Rounder ,9,"28 Years, 1 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,109,23,953,0,0,55,44,125.23,44,0,382.3,2,95,7.22,24.15
Prithvi Shaw,DC,Batsman ,7.5,"22 Years, 4 Months, 7 Days",India,Right Handed,Off break,53,0,1305,0,10,155,45,146.3,11,0,,,,,
Mitchell Marsh,DC,All-Rounder ,6.5,"30 Years, 4 Months, 27 Days",Australia,Right Handed,Right-arm medium,21,2,225,0,0,9,14,114.21,7,0,53.1,0,20,7.89,15.95
Anrich Nortje,DC,Bowler ,6.5,"28 Years, 4 Months, -1 Days",South Africa,Right Handed,Right-arm fast,24,4,7,0,0,0,0,116.66,5,0,91.2,1,34,7.65,16.11
David Warner,DC,Batsman ,6.25,"35 Years, 4 Months, 19 Days",Australia,Left Handed,Leg break,150,19,5449,4,50,525,201,139.96,68,0,0.1,0,0,12,
Khaleel Ahmed,DC,Bowler ,5.25,"24 Years, 3 Months, 10 Days",India,Right Handed,Left-arm medium,24,0,1,0,0,0,0,20,1,0,90.3,0,32,8.68,16.96
Chetan Sakariya,DC,Bowler ,4.2,"24 Years, 0 Months, 15 Days",India,Left Handed,Left-arm medium fast,14,1,16,0,0,2,0,64,4,0,52,1,14,8.19,22.28
Rovman Powell,DC,Batsman ,2.8,"28 Years, 7 Months, 23 Days",West Indies,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,
Kuldeep Yadav,DC,Bowler ,2,"27 Years, 3 Months, 1 Days",India,Left Handed,Slow left-arm chinaman,45,5,57,0,0,5,0,76,11,0,149.2,0,40,8.27,22.4
Srikar Bharat,DC,Wicket-Keeper ,2,"28 Years, 5 Months, 12 Days",India,Right Handed,,8,2,191,0,1,10,8,122.43,4,1,,,,,
Mustafizur Rahman,DC,Bowler ,2,"26 Years, 6 Months, 10 Days",Bangladesh,Left Handed,Left-arm fast medium,38,6,9,0,0,0,1,52.94,5,0,143,1,38,7.83,22.57
Kamlesh Nagarkoti,DC,All-Rounder ,1.1,"22 Years, 2 Months, 19 Days",India,Right Handed,Right-arm fast,11,3,22,0,0,1,0,66.66,4,0,28,0,5,9.14,33.6
Mandeep Singh,DC,Batsman ,1.1,"30 Years, 2 Months, 29 Days",India,Right Handed,Right-arm medium,105,16,1674,0,6,172,37,124.09,37,0,2,0,0,13,
Lalit Yadav,DC,All-Rounder ,0.65,"25 Years, 2 Months, 12 Days",India,Right Handed,Off break,7,3,68,0,0,7,0,93.15,5,0,14,0,4,7.21,21
Yash Dhull,DC,All-Rounder ,0.5,"19 Years, 4 Months, 4 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,
Lungi Ngidi,DC,Bowler ,0.5,"25 Years, 11 Months, 17 Days",South Africa,Right Handed,Right-arm fast medium,14,0,,0,0,0,0,0,2,0,54,2,25,8.29,12.96
Tim Seifert,DC,Wicket-Keeper ,0.5,"27 Years, 3 Months, 1 Days",New Zealand,Right Handed,,1,0,2,0,0,0,0,50,,,,,,,
Pravin Dubey,DC,All-Rounder ,0.5,"28 Years, 8 Months, 14 Days",India,Right Handed,Leg break googly,3,1,7,0,0,0,0,53.84,1,0,8,0,0,9,
Ashwin Hebbar,DC,Batsman ,0.2,"26 Years, 4 Months, 1 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,
Ripal Patel,DC,All-Rounder ,0.2,"26 Years, 5 Months, 18 Days",India,Right Handed,Right-arm medium fast,2,1,25,0,0,3,0,92.59,,,3,0,0,7.33,
Vicky Ostwal,DC,All-Rounder ,0.2,"19 Years, 6 Months, 14 Days",India,Right Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,
Sarfaraz Khan,DC,All-Rounder ,0.2,"24 Years, 4 Months, 24 Days",India,Right Handed,Leg break,40,9,441,0,1,50,11,138.24,6,0,0.2,0,0,18,
KL Rahul,LSG,Wicket-keeper ,17,"29 Years, 10 Months, 27 Days",India,Right Handed,,94,16,3273,2,27,282,134,136.37,50,5,,,,,
Avesh Khan,LSG,Bowler ,10,"25 Years, 3 Months, 2 Days",India,Right Handed,Right-arm medium fast,25,1,9,0,0,2,0,150,5,0,91,0,29,8.23,18.82
Marcus Stoinis,LSG,All-Rounder ,9.2,"32 Years, 7 Months, -1 Days",Australia,Right Handed,Right-arm medium,56,16,914,0,4,76,35,135.81,12,0,102,0,30,9.5,20.4
Jason Holder,LSG,All-Rounder ,8.75,"30 Years, 4 Months, 11 Days",West Indies,Right Handed,Right-arm medium fast,26,3,189,0,0,11,11,121.15,7,0,95.5,0,35,8.2,16.42
Krunal Pandya,LSG,All-Rounder ,8.25,"30 Years, 11 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,84,22,1143,0,1,105,46,138.54,28,0,240.4,0,51,7.36,28.31
Mark Wood,LSG,Bowler ,7.5,"32 Years, 2 Months, 4 Days",England,Right Handed,Right-arm fast,1,0,1,0,0,0,0,33.33,1,0,4,0,0,12.25,
